StimNum,Key,KeyNum,Symb,Symb_R,Symb_G,X_pos,Y_pos,Hand,Sound_P,Sound_N,Beep,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Hand_Bool.thisRepN,RT_Hand_Bool.thisTrialN,RT_Hand_Bool.thisN,RT_Hand_Bool.thisIndex,TR_Hand_Bool.thisRepN,TR_Hand_Bool.thisTrialN,TR_Hand_Bool.thisN,TR_Hand_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,TR_Old_Pre_Bool.thisRepN,TR_Old_Pre_Bool.thisTrialN,TR_Old_Pre_Bool.thisN,TR_Old_Pre_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Old_Post_Bool.thisRepN,TR_Old_Post_Bool.thisTrialN,TR_Old_Post_Bool.thisN,TR_Old_Post_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,CR_Grp_Stop_Bool.thisRepN,CR_Grp_Stop_Bool.thisTrialN,CR_Grp_Stop_Bool.thisN,CR_Grp_Stop_Bool.thisIndex,CR_Grp_Swap_Bool.thisRepN,CR_Grp_Swap_Bool.thisTrialN,CR_Grp_Swap_Bool.thisN,CR_Grp_Swap_Bool.thisIndex,CR_New_Iter_Swap.thisRepN,CR_New_Iter_Swap.thisTrialN,CR_New_Iter_Swap.thisN,CR_New_Iter_Swap.thisIndex,symb_map,symb_remap,Remap_Pair_1,Remap_Pair_2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_CR_New_Text.started,Instr_CR_New_Text.stopped,Instr_CR_New_Press.keys,Instr_CR_New_Press.rt,Instr_CR_New_Press.started,Instr_CR_New_Press.stopped,Pre_Trial_Rec_Frame.started,Pre_Trial_Rec_Frame.stopped,stim_val,proposed_choice,key_num,stim_type,key,block_type,remap,repeat_count,trial_Count,grp_stop,grp_swap,block_num,prep_time,session,actual_press,rt,actual_choice,correct,RT_Rec_Frame.started,RT_Rec_Frame.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,CR_Feedback_Coin_Old.started,CR_Feedback_Coin_Old.stopped,RT_Rec_Frame_Feedback.started,RT_Rec_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,0,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/coin.wav,media/buzz.wav,media/beep.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
1,u,1,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,None,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
2,i,2,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,None,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
3,l,3,media/dgnb.png,media/dgnb_r.png,media/dgnb_g.png,0.1,0.04,None,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
4,h,0,media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,-0.038,0.075,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
5,u,1,media/dfnb.png,media/dfnb_r.png,media/dfnb_g.png,0.014,0.1,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
6,i,2,media/dcnb.png,media/dcnb_r.png,media/dcnb_g.png,0.057,0.08,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
7,l,3,media/dmnb.png,media/dmnb_r.png,media/dmnb_g.png,0.1,0.04,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1, 2, 3, 5, 4, 6, 7)","[3, 1, 2, 0, 5, 6, 4, 7]","[0, 3]","[5, 6]",8.325575100025162,None,space,0.9978288999991491,8.325575100025162,None,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,9.35964859998785,None,h,0.2758849000092596,9.35964859998785,None,9.66894979996141,None,media/dcnb.png,5,1,Symb,u,CR,1,0,0,0,1,1,99,1,h,0.415118100005202,0,0,9.924558399943635,None,9.924558399943635,None,h,0,0.415118100005202,9.924558399943635,None,10.427858350041788,None,10.418776500038803,None,10.418776500038803,None,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,11.46958579996135,None,media/dcnb.png,5,1,Symb,u,CR,1,1,0,0,1,1,99,1,u,0.18816700007300824,1,1,11.679486499982886,None,11.679486499982886,None,u,1,0.18816700007300824,11.679486499982886,None,11.944529339973814,None,11.938115300028585,12.24377049994655,11.938115300028585,12.24377049994655,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,12.41730800003279,None,media/dgnb.png,0,0,Symb,h,CR,1,0,1,0,1,1,99,1,h,0.8511989000253379,0,1,12.648319200030528,None,12.648319200030528,None,h,1,0.8511989000253379,12.648319200030528,None,13.577777140028774,None,13.568015999975614,13.878350600018166,13.568015999975614,13.878350600018166,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,14.05412810004782,None,media/dnnb.png,1,1,Symb,u,CR,1,0,2,0,1,1,99,1,i,0.5862551999744028,2,0,14.281974700046703,None,14.281974700046703,None,i,0,0.5862551999744028,14.281974700046703,None,14.945389440003781,None,14.942854500026442,None,14.942854500026442,None,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,15.987205900019035,None,media/dnnb.png,1,1,Symb,u,CR,1,1,2,0,1,1,99,1,l,0.06341449997853488,3,0,16.212328399997205,None,16.212328399997205,None,l,0,0.06341449997853488,16.212328399997205,None,16.327242030028717,None,16.33297590003349,None,16.33297590003349,None,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,17.376414399943314,None,media/dnnb.png,1,1,Symb,u,CR,1,2,2,0,1,1,99,1,u,0.05809100007172674,1,1,17.593427199986763,None,17.593427199986763,None,u,1,0.05809100007172674,17.593427199986763,None,17.727432639990003,None,17.717141199973412,18.027895299950615,17.717141199973412,18.027895299950615,2,1,2021_Jan_31_1741,Prep_vs_Init,2020.1.3,60.54782462027643,
