StimNum,Key,KeyNum,Symb,Symb_R,Symb_G,X_pos,Y_pos,Hand,Sound_P,Sound_N,Beep,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Hand_Bool.thisRepN,RT_Hand_Bool.thisTrialN,RT_Hand_Bool.thisN,RT_Hand_Bool.thisIndex,TR_Hand_Bool.thisRepN,TR_Hand_Bool.thisTrialN,TR_Hand_Bool.thisN,TR_Hand_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,TR_Old_Pre_Bool.thisRepN,TR_Old_Pre_Bool.thisTrialN,TR_Old_Pre_Bool.thisN,TR_Old_Pre_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Old_Post_Bool.thisRepN,TR_Old_Post_Bool.thisTrialN,TR_Old_Post_Bool.thisN,TR_Old_Post_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,CR_Grp_Stop_Bool.thisRepN,CR_Grp_Stop_Bool.thisTrialN,CR_Grp_Stop_Bool.thisN,CR_Grp_Stop_Bool.thisIndex,CR_New_Iter_Stop.thisRepN,CR_New_Iter_Stop.thisTrialN,CR_New_Iter_Stop.thisN,CR_New_Iter_Stop.thisIndex,symb_map,symb_remap,Remap_Pair_1,Remap_Pair_2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_CR_New_Text.started,Instr_CR_New_Text.stopped,Instr_CR_New_Press.keys,Instr_CR_New_Press.rt,Instr_CR_New_Press.started,Instr_CR_New_Press.stopped,Pre_Trial_Rec_Frame.started,Pre_Trial_Rec_Frame.stopped,stim_val,proposed_choice,key_num,stim_type,key,block_type,remap,repeat_count,trial_Count,grp_stop,grp_swap,block_num,prep_time,session,actual_press,rt,actual_choice,correct,RT_Rec_Frame_Stop.started,RT_Rec_Frame_Stop.stopped,RT_Stim_Image_Stop.started,RT_Stim_Image_Stop.stopped,RT_Press_Stop.keys,RT_Press_Stop.corr,RT_Press_Stop.started,RT_Press_Stop.stopped,CR_Feedback_Coin_Old.started,CR_Feedback_Coin_Old.stopped,RT_Rec_Frame_Feedback.started,RT_Rec_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,RT_Press_Stop.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,h,0,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/coin.wav,media/buzz.wav,media/beep.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
1,u,1,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,None,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
2,i,2,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,None,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
3,l,3,media/dgnb.png,media/dgnb_r.png,media/dgnb_g.png,0.1,0.04,None,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
4,h,0,media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,-0.038,0.075,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
5,u,1,media/dfnb.png,media/dfnb_r.png,media/dfnb_g.png,0.014,0.1,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
6,i,2,media/dcnb.png,media/dcnb_r.png,media/dcnb_g.png,0.057,0.08,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
7,l,3,media/dmnb.png,media/dmnb_r.png,media/dmnb_g.png,0.1,0.04,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1, 2, 3, 4, 6, 5, 7)","[2, 1, 0, 3, 4, 7, 5, 6]","[0, 2]","[5, 7]",8.00006809993647,None,space,0.45019790006335825,8.00006809993647,None,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8.493385099922307,None,h,0.5165597000159323,8.493385099922307,None,9.062612099922262,None,media/dinb.png,2,2,Symb,i,CR,1,0,0,1,0,1,99,1,a,99,8,1,9.298119699931704,11.269081700011156,9.298119699931704,None,None,0,9.298119699931704,None,11.352681300020777,None,11.355247600004077,11.6674275000114,11.355247600004077,11.6674275000114,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,11.822574399993755,None,media/dfnb.png,6,2,Symb,i,CR,1,0,1,1,0,1,99,1,a,99,8,0,12.037864499958232,14.035623500007205,12.037864499958232,None,None,0,12.037864499958232,None,14.102679900010116,None,14.100293199997395,None,14.100293199997395,None,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,15.137866899953224,None,media/dfnb.png,6,2,Symb,i,CR,1,1,1,1,0,1,99,1,i,1.2220835000043735,2,1,15.36451759992633,None,15.36451759992633,None,i,1,15.36451759992633,None,16.669554199965205,None,16.6625192000065,16.96916019998025,16.6625192000065,16.96916019998025,1.2220835000043735,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,17.140980399912223,None,media/ddnb.png,4,0,Symb,h,CR,1,0,2,1,0,1,99,1,a,99,8,1,17.367908499902114,19.350778999971226,17.367908499902114,None,None,0,17.367908499902114,None,19.40107129997341,None,19.39054439996835,19.701091399998404,19.39054439996835,19.701091399998404,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,19.877683899947442,None,media/dcnb.png,5,1,Symb,u,CR,1,0,3,1,0,1,99,1,a,99,8,1,20.101616799947806,None,20.101616799947806,None,None,0,20.101616799947806,None,22.13529439998092,None,22.136356899980456,22.435860899975523,22.136356899980456,22.435860899975523,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,22.613828099914826,None,media/dgnb.png,3,3,Symb,l,CR,1,0,4,1,0,1,99,1,a,99,8,0,22.837188999983482,24.834313999977894,22.837188999983482,None,None,0,22.837188999983482,None,24.884606299980078,None,24.88038129999768,None,24.88038129999768,None,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,25.92849550000392,None,media/dgnb.png,3,3,Symb,l,CR,1,1,4,1,0,1,99,1,l,0.9511353999841958,3,1,26.15502689999994,None,26.15502689999994,None,l,1,26.15502689999994,None,27.168395399989095,None,27.17216760001611,27.4843913000077,27.17216760001611,27.4843913000077,0.9511353999841958,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,27.651373700005934,None,media/djnb.png,0,0,Symb,h,CR,1,0,5,1,0,1,99,1,a,99,8,1,27.861210700008087,29.85226969991345,27.861210700008087,None,None,0,27.861210700008087,None,29.91932609991636,None,29.91754850000143,30.21851879998576,29.91754850000143,30.21851879998576,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,30.383292199927382,None,media/dmnb.png,7,3,Symb,l,CR,1,0,6,1,0,1,99,1,h,1.2472333000041544,0,0,30.586696399957873,None,30.586696399957873,None,h,0,30.586696399957873,None,31.885089199931826,None,31.880852699978277,None,31.880852699978277,None,1.2472333000041544,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,32.9161110999994,None,media/dmnb.png,7,3,Symb,l,CR,1,1,6,1,0,1,99,1,u,0.07897190004587173,1,0,33.13102049997542,None,33.13102049997542,None,u,0,33.13102049997542,None,33.26857149990974,None,33.268475999939255,None,33.268475999939255,None,0.07897190004587173,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,34.29934309993405,None,media/dmnb.png,7,3,Symb,l,CR,1,2,6,1,0,1,99,1,i,0.5484332999913022,2,0,34.5172467000084,None,34.5172467000084,None,i,0,34.5172467000084,None,35.11830339994049,None,35.1130400999682,None,35.1130400999682,None,0.5484332999913022,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,36.162861899938434,None,media/dmnb.png,7,3,Symb,l,CR,1,3,6,1,0,1,99,1,l,0.30373990000225604,3,0,36.369931699940935,None,36.369931699940935,None,l,1,36.369931699940935,None,36.734919300011825,None,36.73449159995653,None,36.73449159995653,None,0.30373990000225604,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,37.756213199929334,None,media/dmnb.png,7,3,Symb,l,CR,1,4,6,1,0,1,99,1,a,99,8,1,37.96996519993991,39.969094199943356,37.96996519993991,None,None,0,37.96996519993991,None,40.03615059994627,None,40.02899419993628,40.33557709993329,40.02899419993628,40.33557709993329,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,40.50785089994315,None,media/djnb.png,0,0,Symb,h,CR,1,0,7,1,0,1,99,1,a,99,8,1,40.72846779995598,42.71884909993969,40.72846779995598,None,None,0,40.72846779995598,None,42.76914139994187,None,42.76401479996275,43.067876199958846,42.76401479996275,43.067876199958846,,1,1,2021_Jan_31_1806,Prep_vs_Init,2020.1.3,59.53805613362204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.240168899996206,None,media/dinb.png,2,2,Symb,i,CR,1,0,8,1,0,1,99,1,,,,,,,,,,,,,,,,,,,,,1,,,,,
