StimNum,Key,KeyNum,Symb,Symb_R,Symb_G,X_pos,Y_pos,Hand,Sound_P,Sound_N,Beep,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Hand_Bool.thisRepN,RT_Hand_Bool.thisTrialN,RT_Hand_Bool.thisN,RT_Hand_Bool.thisIndex,TR_Hand_Bool.thisRepN,TR_Hand_Bool.thisTrialN,TR_Hand_Bool.thisN,TR_Hand_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,TR_Old_Pre_Bool.thisRepN,TR_Old_Pre_Bool.thisTrialN,TR_Old_Pre_Bool.thisN,TR_Old_Pre_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Old_Post_Bool.thisRepN,TR_Old_Post_Bool.thisTrialN,TR_Old_Post_Bool.thisN,TR_Old_Post_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,CR_Grp_Stop_Bool.thisRepN,CR_Grp_Stop_Bool.thisTrialN,CR_Grp_Stop_Bool.thisN,CR_Grp_Stop_Bool.thisIndex,CR_New_Iter_Stop.thisRepN,CR_New_Iter_Stop.thisTrialN,CR_New_Iter_Stop.thisN,CR_New_Iter_Stop.thisIndex,CR_Grp_Swap_Bool.thisRepN,CR_Grp_Swap_Bool.thisTrialN,CR_Grp_Swap_Bool.thisN,CR_Grp_Swap_Bool.thisIndex,TR_New_Bool.thisRepN,TR_New_Bool.thisTrialN,TR_New_Bool.thisN,TR_New_Bool.thisIndex,TR_New_Block_Swap.thisRepN,TR_New_Block_Swap.thisTrialN,TR_New_Block_Swap.thisN,TR_New_Block_Swap.thisIndex,TR_New_Block_Stop.thisRepN,TR_New_Block_Stop.thisTrialN,TR_New_Block_Stop.thisN,TR_New_Block_Stop.thisIndex,TR_Iter_New_Stop.thisRepN,TR_Iter_New_Stop.thisTrialN,TR_Iter_New_Stop.thisN,TR_Iter_New_Stop.thisIndex,TR_Feedback_New_Stop_Bool.thisRepN,TR_Feedback_New_Stop_Bool.thisTrialN,TR_Feedback_New_Stop_Bool.thisN,TR_Feedback_New_Stop_Bool.thisIndex,TR_Penalty_New_Stop_Bool.thisRepN,TR_Penalty_New_Stop_Bool.thisTrialN,TR_Penalty_New_Stop_Bool.thisN,TR_Penalty_New_Stop_Bool.thisIndex,symb_map,symb_remap,Remap_Pair_1,Remap_Pair_2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_CR_New_Text.started,Instr_CR_New_Text.stopped,Instr_CR_New_Press.keys,Instr_CR_New_Press.rt,Instr_CR_New_Press.started,Instr_CR_New_Press.stopped,Pre_Trial_Rec_Frame.started,Pre_Trial_Rec_Frame.stopped,stim_val,proposed_choice,key_num,stim_type,key,block_type,remap,repeat_count,trial_Count,grp_stop,grp_swap,block_num,prep_time,session,actual_press,rt,actual_choice,correct,RT_Rec_Frame_Stop.started,RT_Rec_Frame_Stop.stopped,RT_Stim_Image_Stop.started,RT_Stim_Image_Stop.stopped,RT_Press_Stop.keys,RT_Press_Stop.corr,RT_Press_Stop.started,RT_Press_Stop.stopped,CR_Feedback_Coin_Old.started,CR_Feedback_Coin_Old.stopped,RT_Rec_Frame_Feedback.started,RT_Rec_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,RT_Press_Stop.rt,Instr_TR_Old_Post_text_3.started,Instr_TR_Old_Post_text_3.stopped,Instr_TR_Old_Post_Press_3.keys,Instr_TR_Old_Post_Press_3.rt,Instr_TR_Old_Post_Press_3.started,Instr_TR_Old_Post_Press_3.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Beep_Stop.started,TR_Beep_Stop.stopped,TR_Rec_Frame_Stop.started,TR_Rec_Frame_Stop.stopped,TR_Stim_Image_Stop.started,TR_Stim_Image_Stop.stopped,TR_Press_Stop.keys,TR_Press_Stop.corr,TR_Press_Stop.started,TR_Press_Stop.stopped,TR_Feedback_Coin.started,TR_Feedback_Coin.stopped,Tr_Rec_Frame_Feedback.started,Tr_Rec_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Press_Stop.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.14331559999846,None,media/djnb.png,0,0,Symb,h,CR,1,1,0,1,0,1,99,3,l,0.9167042999761179,3,0,18.34688830000232,None,18.34688830000232,None,l,0,18.34688830000232,None,19.31188499001728,None,19.308902100019623,None,19.308902100019623,None,0.9167042999761179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.359038800001144,None,media/djnb.png,0,0,Symb,h,CR,1,2,0,1,0,1,99,3,a,99,8,0,20.56557440001052,22.56288010001299,20.56557440001052,None,None,0,20.56557440001052,None,22.628736220014982,None,22.623610300011933,None,22.623610300011933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.656645200011553,None,media/djnb.png,0,0,Symb,h,CR,1,3,0,1,0,1,99,3,a,99,8,0,23.872060599998804,25.857256399991456,23.872060599998804,None,None,0,23.872060599998804,None,25.90664848999295,None,25.91119310000795,None,25.91119310000795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.95972939999774,None,media/djnb.png,0,0,Symb,h,CR,1,4,0,1,0,1,99,3,h,1.5909966999897733,0,1,27.168527800007723,None,27.168527800007723,None,h,1,27.168527800007723,None,28.812223390003783,None,28.808487900008913,29.11277269999846,28.808487900008913,29.11277269999846,1.5909966999897733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.278136300010374,None,media/dcnb.png,4,0,Symb,h,CR,1,0,1,1,0,1,99,3,l,0.652191600005608,3,0,29.491839299997082,None,29.491839299997082,None,l,0,29.491839299997082,None,30.22981345000153,None,30.226763000013307,None,30.226763000013307,None,0.652191600005608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.27099650001037,None,media/dcnb.png,4,0,Symb,h,CR,1,1,1,1,0,1,99,3,u,0.23186109997914173,1,0,31.495947599993087,None,31.495947599993087,None,u,0,31.495947599993087,None,31.7961815200164,None,31.791870400018524,None,31.791870400018524,None,0.23186109997914173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8335178999987,None,media/dcnb.png,4,0,Symb,h,CR,1,2,1,1,0,1,99,3,i,0.0669144999992568,2,0,33.06094779999694,None,33.06094779999694,None,i,0,33.06094779999694,None,33.178831690017255,None,33.180729999992764,None,33.180729999992764,None,0.0669144999992568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.21881439999561,None,media/dcnb.png,4,0,Symb,h,CR,1,3,1,1,0,1,99,3,a,99,8,1,34.44578750000801,36.42938050001976,34.44578750000801,None,None,0,34.44578750000801,None,36.47877259002126,None,36.46989690000191,36.77937970001949,36.46989690000191,36.77937970001949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.93295630000648,None,media/djnb.png,0,0,Symb,h,CR,1,0,2,1,0,1,99,3,h,1.4759182000125293,0,1,37.15585860001738,None,37.15585860001738,None,h,1,37.15585860001738,None,38.67960468999518,None,38.68096220001462,38.99609160001273,38.68096220001462,38.99609160001273,1.4759182000125293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.15577450001729,None,media/dfnb.png,6,2,Symb,i,CR,1,0,3,1,0,1,99,3,u,0.858157000009669,1,0,39.36572679999517,None,39.36572679999517,None,u,0,39.36572679999517,None,40.279695190020725,None,40.27910720001091,None,40.27910720001091,None,0.858157000009669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2020_Dec_16_0015,Prep_vs_Init,2020.1.3,60.35134136381949,
