StimNum,Key,KeyNum,Symb,Symb_R,Symb_G,X_pos,Y_pos,Hand,Sound_P,Sound_N,Beep,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Hand_Bool.thisRepN,RT_Hand_Bool.thisTrialN,RT_Hand_Bool.thisN,RT_Hand_Bool.thisIndex,TR_Hand_Bool.thisRepN,TR_Hand_Bool.thisTrialN,TR_Hand_Bool.thisN,TR_Hand_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,TR_Old_Pre_Bool.thisRepN,TR_Old_Pre_Bool.thisTrialN,TR_Old_Pre_Bool.thisN,TR_Old_Pre_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,TR_Old_Post_Bool.thisRepN,TR_Old_Post_Bool.thisTrialN,TR_Old_Post_Bool.thisN,TR_Old_Post_Bool.thisIndex,CR_New_Bool.thisRepN,CR_New_Bool.thisTrialN,CR_New_Bool.thisN,CR_New_Bool.thisIndex,CR_Grp_Stop_Bool.thisRepN,CR_Grp_Stop_Bool.thisTrialN,CR_Grp_Stop_Bool.thisN,CR_Grp_Stop_Bool.thisIndex,CR_New_Iter_Stop.thisRepN,CR_New_Iter_Stop.thisTrialN,CR_New_Iter_Stop.thisN,CR_New_Iter_Stop.thisIndex,symb_map,symb_remap,Remap_Pair_1,Remap_Pair_2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_CR_New_Text.started,Instr_CR_New_Text.stopped,Instr_CR_New_Press.keys,Instr_CR_New_Press.rt,Instr_CR_New_Press.started,Instr_CR_New_Press.stopped,Pre_Trial_Rec_Frame.started,Pre_Trial_Rec_Frame.stopped,stim_val,proposed_choice,key_num,stim_type,key,block_type,remap,repeat_count,trial_Count,grp_stop,grp_swap,block_num,prep_time,session,actual_press,rt,actual_choice,correct,RT_Rec_Frame_Stop.started,RT_Rec_Frame_Stop.stopped,RT_Stim_Image_Stop.started,RT_Stim_Image_Stop.stopped,RT_Press_Stop.keys,RT_Press_Stop.corr,RT_Press_Stop.rt,RT_Press_Stop.started,RT_Press_Stop.stopped,CR_Feedback_Coin_Old.started,CR_Feedback_Coin_Old.stopped,RT_Rec_Frame_Feedback.started,RT_Rec_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,h,0,media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/coin.wav,media/buzz.wav,media/beep.wav,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
1,u,1,media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,None,None,None,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
2,i,2,media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,None,None,None,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
3,l,3,media/dgnb.png,media/dgnb_r.png,media/dgnb_g.png,0.1,0.04,None,None,None,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
4,h,0,media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,-0.038,0.075,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
5,u,1,media/dfnb.png,media/dfnb_r.png,media/dfnb_g.png,0.014,0.1,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
6,i,2,media/dcnb.png,media/dcnb_r.png,media/dcnb_g.png,0.057,0.08,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
7,l,3,media/dmnb.png,media/dmnb_r.png,media/dmnb_g.png,0.1,0.04,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(0, 1, 2, 3, 4, 6, 5, 7)","[2, 1, 0, 3, 4, 7, 5, 6]","[0, 2]","[5, 7]",8.728542300057597,None,space,0.389021800016053,8.728542300057597,None,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,9.166908800019883,None,h,0.4304292000597343,9.166908800019883,None,9.642288399976678,None,media/dfnb.png,6,2,Symb,i,CR,1,0,0,1,0,1,99,1,i,1.683823199942708,2,1,9.88205629994627,None,9.88205629994627,None,i,1,1.683823199942708,9.88205629994627,None,11.638937960006297,None,11.641541399993002,11.955375300021842,11.641541399993002,11.955375300021842,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,12.105455499957316,None,media/dmnb.png,7,3,Symb,l,CR,1,0,1,1,0,1,99,1,a,99,8,1,12.316242599976249,14.30678009998519,12.316242599976249,None,None,0,,12.316242599976249,None,14.356563119986093,None,14.355574100045487,14.654916499974206,14.355574100045487,14.654916499974206,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,14.838110700016841,None,media/ddnb.png,4,0,Symb,h,CR,1,0,2,1,0,1,99,1,a,99,8,0,15.040531100006774,None,15.040531100006774,None,None,0,,15.040531100006774,None,17.089538259990515,None,17.07911609997973,None,17.07911609997973,None,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,18.12800220004283,None,media/ddnb.png,4,0,Symb,h,CR,1,1,2,1,0,1,99,1,h,1.7491032999241725,0,1,18.344340699957684,None,18.344340699957684,None,h,1,1.7491032999241725,18.344340699957684,None,20.15486642003525,None,20.159136799979024,20.472058900049888,20.159136799979024,20.472058900049888,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,20.63539980002679,None,media/dcnb.png,5,1,Symb,u,CR,1,0,3,1,0,1,99,1,a,99,8,1,20.849439000012353,22.840229699970223,20.849439000012353,None,None,0,,20.849439000012353,None,22.89001271997113,None,22.894178200047463,23.20611100003589,22.894178200047463,23.20611100003589,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,23.36932269996032,None,media/dinb.png,2,2,Symb,i,CR,1,0,4,1,0,1,99,1,l,1.3003212999319658,3,0,23.585137799964286,None,23.585137799964286,None,l,0,1.3003212999319658,23.585137799964286,None,24.93829391996842,None,24.93219930003397,None,24.93219930003397,None,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,25.983155600028113,None,media/dinb.png,2,2,Symb,i,CR,1,1,4,1,0,1,99,1,i,1.1434910000534728,2,0,26.19047040003352,None,26.19047040003352,None,i,1,1.1434910000534728,26.19047040003352,None,27.406346259964632,None,27.403168100048788,None,27.403168100048788,None,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,28.427110100048594,None,media/dinb.png,2,2,Symb,i,CR,1,2,4,1,0,1,99,1,u,1.095103200059384,1,0,28.646558000007644,None,28.646558000007644,None,u,0,1.095103200059384,28.646558000007644,None,29.822423460055145,None,29.81830759998411,None,29.81830759998411,None,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,30.86226009996608,None,media/dinb.png,2,2,Symb,i,CR,1,3,4,1,0,1,99,1,h,0.28059900004882365,0,0,31.085599999991246,None,31.085599999991246,None,h,0,0.28059900004882365,31.085599999991246,None,31.439702260051856,None,31.432608400005847,None,31.432608400005847,None,1,1,2021_Jan_31_1755,Prep_vs_Init,2020.1.3,60.00308416803998,
